Temp	Width		V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 22			 0.0 		-1.09215e-46		-3.21151e-46		-1.09257e-46				5.39623e-46
 25		 22			 0.1 		4.3079e-15		-8.69185e-15		4.3079e-15				1.98415e-17
 25		 22			 0.2 		5.43849e-15		-1.09873e-14		5.43849e-15				5.54615e-17
 25		 22			 0.3 		3.42621e-14		-6.85747e-14		3.42621e-14				1.15951e-16
 25		 22			 0.4 		9.6146e-14		-1.92955e-13		9.6146e-14				2.33352e-16
 25		 22			 0.5 		2.33068e-13		-4.66691e-13		2.33068e-13				6.28925e-16
 25		 22			 0.6 		6.12351e-13		-1.22754e-12		6.12351e-13				2.82925e-15
 25		 22			 0.7 		1.31442e-12		-2.64549e-12		1.31442e-12				1.69936e-14
 25		 22			 0.8 		2.45869e-12		-5.02532e-12		2.45869e-12				1.07695e-13

Temp	Width		V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 44			 0.0 		1.60941e-46		8.45344e-46		1.60529e-46				-1.16681e-45
 25		 44			 0.1 		1.22057e-14		-2.44884e-14		1.22057e-14				5.62177e-17
 25		 44			 0.2 		1.5409e-14		-3.09562e-14		1.5409e-14				1.57141e-16
 25		 44			 0.3 		9.70758e-14		-1.94443e-13		9.70758e-14				3.28527e-16
 25		 44			 0.4 		2.72414e-13		-5.45456e-13		2.72414e-13				6.61164e-16
 25		 44			 0.5 		6.60358e-13		-1.32246e-12		6.60358e-13				1.78195e-15
 25		 44			 0.6 		1.73499e-12		-3.47813e-12		1.73499e-12				8.01622e-15
 25		 44			 0.7 		3.7242e-12		-7.49625e-12		3.7242e-12				4.81486e-14
 25		 44			 0.8 		6.96629e-12		-1.42377e-11		6.96629e-12				3.05135e-13

Temp	Width		V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 66			 0.0 		-2.58169e-46		-1.63625e-45		-2.58605e-46				2.15303e-45
 25		 66			 0.1 		2.01035e-14		-4.02935e-14		2.01035e-14				9.25939e-17
 25		 66			 0.2 		2.53796e-14		-5.10651e-14		2.53796e-14				2.5882e-16
 25		 66			 0.3 		1.5989e-13		-3.20324e-13		1.5989e-13				5.41102e-16
 25		 66			 0.4 		4.48681e-13		-8.98482e-13		4.48681e-13				1.08898e-15
 25		 66			 0.5 		1.08765e-12		-2.17822e-12		1.08765e-12				2.93498e-15
 25		 66			 0.6 		2.85764e-12		-5.72852e-12		2.85764e-12				1.32032e-14
 25		 66			 0.7 		6.13398e-12		-1.23471e-11		6.13398e-12				7.93035e-14
 25		 66			 0.8 		1.14739e-11		-2.34504e-11		1.14739e-11				5.02575e-13

Temp	Width		V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 88			 0.0 		-1.46133e-45		-1.01584e-44		-1.46149e-45				1.30812e-44
 25		 88			 0.1 		2.80014e-14		-5.61426e-14		2.80014e-14				1.2897e-16
 25		 88			 0.2 		3.53502e-14		-7.10468e-14		3.53502e-14				3.605e-16
 25		 88			 0.3 		2.22703e-13		-4.46194e-13		2.22703e-13				7.53678e-16
 25		 88			 0.4 		6.24949e-13		-1.25144e-12		6.24949e-13				1.51679e-15
 25		 88			 0.5 		1.51494e-12		-3.03405e-12		1.51494e-12				4.08801e-15
 25		 88			 0.6 		3.98028e-12		-7.97887e-12		3.98028e-12				1.83901e-14
 25		 88			 0.7 		8.54376e-12		-1.71979e-11		8.54376e-12				1.10458e-13
 25		 88			 0.8 		1.59815e-11		-3.2663e-11		1.59815e-11				7.00015e-13

Temp	Width			V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 110			 0.0 		9.25797e-46		6.81078e-45		9.26349e-46				-8.66293e-45
 25		 110			 0.1 		3.58992e-14		-7.19752e-14		3.58992e-14				1.65346e-16
 25		 110			 0.2 		4.53207e-14		-9.11063e-14		4.53207e-14				4.62179e-16
 25		 110			 0.3 		2.85517e-13		-5.72062e-13		2.85517e-13				9.66254e-16
 25		 110			 0.4 		8.01216e-13		-1.60438e-12		8.01216e-13				1.9446e-15
 25		 110			 0.5 		1.94223e-12		-3.8897e-12		1.94223e-12				5.24104e-15
 25		 110			 0.6 		5.10293e-12		-1.02294e-11		5.10293e-12				2.35771e-14
 25		 110			 0.7 		1.09535e-11		-2.20487e-11		1.09535e-11				1.41613e-13
 25		 110			 0.8 		2.04891e-11		-4.18757e-11		2.04891e-11				8.97455e-13

Temp	Width			V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 132			 0.0 		-1.02557e-45		-7.82419e-45		-1.02372e-45				9.87349e-45
 25		 132			 0.1 		4.3797e-14		-8.77907e-14		4.3797e-14				2.01722e-16
 25		 132			 0.2 		5.52913e-14		-1.11166e-13		5.52913e-14				5.63859e-16
 25		 132			 0.3 		3.48331e-13		-6.9787e-13		3.48331e-13				1.17883e-15
 25		 132			 0.4 		9.77484e-13		-1.9574e-12		9.77484e-13				2.37241e-15
 25		 132			 0.5 		2.36952e-12		-4.74547e-12		2.36952e-12				6.39407e-15
 25		 132			 0.6 		6.22557e-12		-1.24799e-11		6.22557e-12				2.87641e-14
 25		 132			 0.7 		1.33633e-11		-2.68993e-11		1.33633e-11				1.72768e-13
 25		 132			 0.8 		2.49967e-11		-5.10883e-11		2.49967e-11				1.0949e-12

Temp	Width			V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 154			 0.0 		-4.58277e-45		-3.59332e-44		-4.58279e-45				4.50988e-44
 25		 154			 0.1 		5.16948e-14		-1.03639e-13		5.16948e-14				2.38099e-16
 25		 154			 0.2 		6.52618e-14		-1.31189e-13		6.52618e-14				6.65538e-16
 25		 154			 0.3 		4.11145e-13		-8.23705e-13		4.11145e-13				1.39141e-15
 25		 154			 0.4 		1.15375e-12		-2.31031e-12		1.15375e-12				2.80023e-15
 25		 154			 0.5 		2.79681e-12		-5.60117e-12		2.79681e-12				7.5471e-15
 25		 154			 0.6 		7.34821e-12		-1.47303e-11		7.34821e-12				3.3951e-14
 25		 154			 0.7 		1.57731e-11		-3.17501e-11		1.57731e-11				2.03923e-13
 25		 154			 0.8 		2.95043e-11		-6.03008e-11		2.95043e-11				1.29234e-12

Temp	Width			V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 176			 0.0 		2.12537e-45		1.70077e-44		2.12719e-45				-2.12602e-44
 25		 176			 0.1 		5.95926e-14		-1.19458e-13		5.95926e-14				2.74475e-16
 25		 176			 0.2 		7.52324e-14		-1.51243e-13		7.52324e-14				7.67218e-16
 25		 176			 0.3 		4.73958e-13		-9.49519e-13		4.73958e-13				1.60398e-15
 25		 176			 0.4 		1.33002e-12		-2.66328e-12		1.33002e-12				3.22804e-15
 25		 176			 0.5 		3.2241e-12		-6.45689e-12		3.2241e-12				8.70013e-15
 25		 176			 0.6 		8.47086e-12		-1.69808e-11		8.47086e-12				3.9138e-14
 25		 176			 0.7 		1.81829e-11		-3.66008e-11		1.81829e-11				2.35078e-13
 25		 176			 0.8 		3.40119e-11		-6.95136e-11		3.40119e-11				1.48978e-12

