Temp	Width		V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 22			 0.0 		4.35927e-47		7.19637e-47		4.36352e-47				-1.59192e-46
 25		 22			 0.1 		5.62141e-19		-1.98074e-17		5.62141e-19				5.45158e-18
 25		 22			 0.2 		2.15628e-18		-3.96148e-17		2.15628e-18				7.42453e-18
 25		 22			 0.3 		5.72902e-18		6.35855e-17		5.72902e-18				7.42181e-18
 25		 22			 0.4 		1.28958e-17		-7.92296e-17		1.28958e-17				7.17801e-18
 25		 22			 0.5 		2.63532e-17		-4.92031e-16		2.63532e-17				5.33971e-17
 25		 22			 0.6 		5.05236e-17		-2.38092e-15		5.05236e-17				2.92437e-15
 25		 22			 0.7 		9.25585e-17		-1.73528e-13		9.25585e-17				1.73865e-13
 25		 22			 0.8 		1.63887e-16		-9.6445e-12		1.63887e-16				9.64404e-12

Temp	Width		V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 44			 0.0 		1.06338e-46		3.13857e-46		1.06266e-46				-5.26461e-46
 25		 44			 0.1 		1.59273e-18		-9.90369e-18		1.59273e-18				1.54462e-17
 25		 44			 0.2 		6.10947e-18		-1.98074e-17		6.10947e-18				2.10362e-17
 25		 44			 0.3 		1.62322e-17		-9.12149e-17		1.62322e-17				2.10285e-17
 25		 44			 0.4 		3.65382e-17		-3.96148e-17		3.65382e-17				2.03377e-17
 25		 44			 0.5 		7.46674e-17		-2.46015e-16		7.46674e-17				1.51292e-16
 25		 44			 0.6 		1.4315e-16		-8.57092e-15		1.4315e-16				8.28571e-15
 25		 44			 0.7 		2.62249e-16		-4.92689e-13		2.62249e-16				4.92617e-13
 25		 44			 0.8 		4.64346e-16		-2.7326e-11		4.64346e-16				2.73248e-11

Temp	Width		V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 66			 0.0 		1.48921e-47		5.22666e-47		1.44219e-47				-8.15805e-47
 25		 66			 0.1 		2.62333e-18		-6.99567e-17		2.62333e-18				2.54407e-17
 25		 66			 0.2 		1.00627e-17		-5.79082e-17		1.00627e-17				3.46478e-17
 25		 66			 0.3 		2.67354e-17		-9.41166e-17		2.67354e-17				3.46351e-17
 25		 66			 0.4 		6.01806e-17		-1.97822e-16		6.01806e-17				3.34974e-17
 25		 66			 0.5 		1.22982e-16		-4.92031e-16		1.22982e-16				2.49186e-16
 25		 66			 0.6 		2.35777e-16		-1.40711e-14		2.35777e-16				1.36471e-14
 25		 66			 0.7 		4.3194e-16		-8.12111e-13		4.3194e-16				8.11369e-13
 25		 66			 0.8 		7.64805e-16		-4.50074e-11		7.64805e-16				4.50055e-11

Temp	Width		V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 88			 0.0 		-3.96038e-46		-1.54356e-45		-3.95875e-46				2.33547e-45
 25		 88			 0.1 		3.65392e-18		-5.10797e-17		3.65392e-18				3.54353e-17
 25		 88			 0.2 		1.40158e-17		-1.02159e-16		1.40158e-17				4.82595e-17
 25		 88			 0.3 		3.72386e-17		-1.68615e-16		3.72386e-17				4.82418e-17
 25		 88			 0.4 		8.38229e-17		-2.04319e-16		8.38229e-17				4.66571e-17
 25		 88			 0.5 		1.71296e-16		-6.76542e-16		1.71296e-16				3.47081e-16
 25		 88			 0.6 		3.28404e-16		-1.96614e-14		3.28404e-16				1.90084e-14
 25		 88			 0.7 		6.0163e-16		-1.13126e-12		6.0163e-16				1.13012e-12
 25		 88			 0.8 		1.06526e-15		-6.26886e-11		1.06526e-15				6.26863e-11

Temp	Width			V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 110			 0.0 		1.49139e-45		6.14801e-45		1.49084e-45				-9.13024e-45
 25		 110			 0.1 		4.68451e-18		-6.49102e-17		4.68451e-18				4.54299e-17
