Temp M1[W] V-sweep V(drain) V(gate) V(source) V(body)  I(Vd) I(Vg) I(Vs) I(Vb)
25 1.76E-07 0.05 0 0.05 0 0 5.94223E-14 -1.18965E-13 5.94223E-14 1.15455E-16
25 1.76E-07 0.1 0 0.1 0 0 5.95926E-14 -1.19458E-13 5.95926E-14 2.74475E-16
25 1.76E-07 0.15 0 0.15 0 0 1.94051E-14 -3.9297E-14 1.94051E-14 4.87501E-16
25 1.76E-07 0.2 0 0.2 0 0 7.52324E-14 -1.51243E-13 7.52324E-14 7.67218E-16
25 1.76E-07 0.25 0 0.25 0 0 2.30024E-13 -4.61202E-13 2.30024E-13 1.13031E-15
25 1.76E-07 0.3 0 0.3 0 0 4.73958E-13 -9.49522E-13 4.73958E-13 1.60398E-15
25 1.76E-07 0.35 0 0.35 0 0 8.29897E-13 -1.66204E-12 8.29897E-13 2.24887E-15
25 1.76E-07 0.4 0 0.4 0 0 1.33002E-12 -2.66331E-12 1.33002E-12 3.22804E-15
25 1.76E-07 0.45 0 0.45 0 0 2.04515E-12 -4.09527E-12 2.04515E-12 4.98677E-15
25 1.76E-07 0.5 0 0.5 0 0 3.2241E-12 -6.45689E-12 3.2241E-12 8.70013E-15
25 1.76E-07 0.55 0 0.55 0 0 5.32402E-12 -1.06654E-11 5.32402E-12 1.74297E-14
25 1.76E-07 0.6 0 0.6 0 0 8.47086E-12 -1.69808E-11 8.47086E-12 3.9138E-14
25 1.76E-07 0.65 0 0.65 0 0 1.26964E-11 -2.54871E-11 1.26964E-11 9.43318E-14
25 1.76E-07 0.7 0 0.7 0 0 1.81829E-11 -3.66008E-11 1.81829E-11 2.35078E-13
25 1.76E-07 0.75 0 0.75 0 0 2.51864E-11 -5.09648E-11 2.51864E-11 5.9199E-13
25 1.76E-07 0.8 0 0.8 0 0 3.40119E-11 -6.95136E-11 3.40119E-11 1.48978E-12
