Temp M1[W] V-sweep V(drain) V(gate) V(source) V(body)  I(Vd) I(Vg) I(Vs) I(Vb)
25 1.32E-07 0.05 0 0.00102201 0.05 0 1.65031E-10 0 -1.65031E-10 6.96683E-17
25 1.32E-07 0.1 0 0.00103897 0.1 0 1.40819E-09 0 -1.40819E-09 5.51239E-16
25 1.32E-07 0.15 0 0.000499226 0.15 0 1.03712E-08 0 -1.03712E-08 3.91634E-15
25 1.32E-07 0.2 0 0.00125197 0.2 0 6.59638E-08 0 -6.59638E-08 2.74544E-14
25 1.32E-07 0.25 0 0.00314172 0.25 0 3.59999E-07 0 -3.59999E-07 1.9229E-13
25 1.32E-07 0.3 0 0.00535157 0.3 0 1.68233E-06 0 -1.68233E-06 1.34795E-12
25 1.32E-07 0.35 0 0.00580729 0.35 0 6.24555E-06 0 -6.24556E-06 9.45455E-12
25 1.32E-07 0.4 0 0.00493958 0.4 0 1.64342E-05 0 -1.64343E-05 6.62931E-11
25 1.32E-07 0.45 0 0.00412023 0.45 0 3.18386E-05 0 -3.1839E-05 4.64463E-10
25 1.32E-07 0.5 0 0.00389503 0.5 0 5.05122E-05 0 -5.05154E-05 3.25263E-09
25 1.32E-07 0.55 0 0.00368532 0.55 0 7.11714E-05 0 -7.11942E-05 2.27746E-08
25 1.32E-07 0.6 0 0.00358996 0.6 0 9.30182E-05 0 -9.31777E-05 1.59454E-07
25 1.32E-07 0.65 0 0.00387892 0.65 0 0.000115535 0 -0.000116651 1.11609E-06
25 1.32E-07 0.7 0 0.00478081 0.7 0 0.000138307 0 -0.000146105 7.79731E-06
25 1.32E-07 0.75 0 0.00682951 0.75 0 0.000160735 0 -0.00021451 5.37757E-05
25 1.32E-07 0.8 0 0.0118965 0.8 0 0.000181435 0 -0.000523895 0.000342461
