Temp M1[W] V-sweep V(drain) V(gate) V(source) V(body)  I(Vd) I(Vg) I(Vs) I(Vb)
25 6.6E-08 0.05 0.00326075 0.05 0.00326075 0 -1.20278E-30 -1.44771E-17 1.20278E-30 1.69361E-17
25 6.6E-08 0.1 0.00817849 0.1 0.00817849 0 -6.01725E-29 -6.99567E-17 6.01725E-29 2.99828E-17
25 6.6E-08 0.15 0.014371 0.15 0.014371 0 -1.68384E-30 -8.80609E-17 1.68384E-30 4.06594E-17
25 6.6E-08 0.2 0.0214036 0.2 0.0214036 0 4.37785E-30 -5.79082E-17 -4.37785E-30 5.041E-17
25 6.6E-08 0.25 0.0289122 0.25 0.0289122 0 -5.73611E-30 -8.20051E-17 5.73611E-30 6.06718E-17
25 6.6E-08 0.3 0.0366365 0.3 0.0366365 0 -6.49836E-31 -1.47105E-16 6.49836E-31 7.29648E-17
25 6.6E-08 0.35 0.0444074 0.35 0.0444074 0 5.76231E-31 -4.81938E-17 -5.76231E-31 8.91887E-17
25 6.6E-08 0.4 0.052122 0.4 0.052122 0 -4.05111E-31 -8.67993E-17 4.05111E-31 1.13547E-16
25 6.6E-08 0.45 0.059722 0.45 0.059722 0 -1.06587E-31 -1.25405E-16 1.06587E-31 1.67197E-16
25 6.6E-08 0.5 0.0671773 0.5 0.0671773 0 4.80376E-33 -3.81008E-16 -4.80376E-33 4.01887E-16
25 6.6E-08 0.55 0.0744751 0.55 0.0744751 0 -7.48863E-32 -1.97771E-15 7.48863E-32 1.97989E-15
25 6.6E-08 0.6 0.0816132 0.6 0.0816132 0 6.0231E-32 -1.39071E-14 -6.0231E-32 1.38657E-14
25 6.6E-08 0.65 0.088595 0.65 0.088595 0 -1.16377E-31 -1.05164E-13 1.16377E-31 1.05154E-13
25 6.6E-08 0.7 0.0954274 0.7 0.0954274 0 1.45958E-32 -8.07577E-13 -1.45958E-32 8.07634E-13
25 6.6E-08 0.75 0.102119 0.75 0.102119 0 -2.51032E-31 -6.17324E-12 2.51032E-31 6.17326E-12
25 6.6E-08 0.8 0.108678 0.8 0.108678 0 1.27002E-31 -4.47529E-11 -1.27002E-31 4.4753E-11
